IDMochila,PesoMaximo,NumeroItens,MelhorValor,MelhorPeso,TempoForcaBruta,TempoAlgGulosoValor,ValorAlgGulosoValor,PesoAlgGulosoValor,PrecisaoAlgGulosValor,EficienciaAlgGulosoValor,TempoAlgGulosoValorPeso,ValorAlgGulosoValorPeso,PesoAlgGulosoValorPeso,PrecisaoAlgGulosoValorPeso,EficienciaAlgGulosoValorPeso,TempoAlgGulosoAmbos,ValorAlgGulosoAmbos,PesoAlgGulosoAmbos,PrecisaoAlgGulosoAmbos,EficienciaAlgGulosoAmbos
1,54,25,443,54,3421992600ns,556600ns,152,54,34.31%,100.00%,88200ns,440,52,99.32%,96.30%,644800ns,440,52,99.32%,96.30%
2,54,25,410,54,3402988000ns,12300ns,112,54,27.32%,100.00%,42100ns,410,54,100.00%,100.00%,54400ns,410,54,100.00%,100.00%
3,54,25,338,53,3417973600ns,15000ns,71,53,21.01%,100.00%,84700ns,338,53,100.00%,100.00%,99700ns,338,53,100.00%,100.00%
4,54,25,368,53,3424238000ns,11700ns,71,53,19.29%,100.00%,52800ns,364,52,98.91%,98.11%,64500ns,364,52,98.91%,98.11%
5,54,25,378,53,3498164400ns,11500ns,75,52,19.84%,98.11%,39500ns,378,53,100.00%,100.00%,51000ns,378,53,100.00%,100.00%
6,54,25,428,54,3424722200ns,12600ns,131,54,30.61%,100.00%,45100ns,428,53,100.00%,98.15%,57700ns,428,53,100.00%,98.15%
7,54,25,330,54,3426354800ns,11400ns,43,52,13.03%,96.30%,37300ns,330,54,100.00%,100.00%,48700ns,330,54,100.00%,100.00%
8,54,25,354,54,3424578900ns,11000ns,77,53,21.75%,98.15%,43300ns,346,53,97.74%,98.15%,54300ns,346,53,97.74%,98.15%
9,54,25,296,53,3417769100ns,12400ns,75,54,25.34%,101.89%,39300ns,296,53,100.00%,100.00%,51700ns,296,53,100.00%,100.00%
10,54,25,398,54,3420149500ns,12400ns,65,54,16.33%,100.00%,37400ns,392,51,98.49%,94.44%,49800ns,392,51,98.49%,94.44%
11,54,25,336,54,3420635800ns,12400ns,117,53,34.82%,98.15%,51100ns,336,54,100.00%,100.00%,63500ns,336,54,100.00%,100.00%
12,54,25,331,54,3437239200ns,11600ns,71,51,21.45%,94.44%,53100ns,331,54,100.00%,100.00%,64700ns,331,54,100.00%,100.00%
13,54,25,364,54,3476200900ns,15100ns,70,51,19.23%,94.44%,37900ns,348,50,95.60%,92.59%,53000ns,348,50,95.60%,92.59%
14,54,25,361,54,3435890100ns,12000ns,85,51,23.55%,94.44%,32800ns,361,54,100.00%,100.00%,44800ns,361,54,100.00%,100.00%
15,54,25,395,54,3433774800ns,16500ns,81,51,20.51%,94.44%,73100ns,388,53,98.23%,98.15%,89600ns,388,53,98.23%,98.15%
16,54,25,415,54,3433033600ns,11400ns,104,53,25.06%,98.15%,39300ns,413,52,99.52%,96.30%,50700ns,413,52,99.52%,96.30%
17,54,25,321,54,3443578000ns,11300ns,44,50,13.71%,92.59%,33200ns,321,54,100.00%,100.00%,44500ns,321,54,100.00%,100.00%
18,54,25,372,54,3428899400ns,11600ns,123,54,33.06%,100.00%,39500ns,372,54,100.00%,100.00%,51100ns,372,54,100.00%,100.00%
19,54,25,442,54,3443479400ns,12100ns,110,52,24.89%,96.30%,32400ns,441,51,99.77%,94.44%,44500ns,441,51,99.77%,94.44%
